EANEAN;Farbcode
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#34eb3a
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,04933E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#34eb3a
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#34eb3a
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
4,05205E+12;#c034eb
